Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,36.110001000000004,36.400002,35.939999,36.310001,35.56258,24825600
2017-05-02,36.369999,37.029999,36.349998,36.970001,36.208996,35813000
2017-05-03,36.720001,37.169998,36.619999,36.98,36.488232,22040300
2017-05-04,36.990002000000004,37.110001000000004,36.639998999999996,36.849998,36.359955,16437100
2017-05-05,36.860001000000004,36.93,36.5,36.82,36.330357,18119200
2017-05-08,36.73,36.849998,36.48,36.540001000000004,36.054085,17660200
2017-05-09,36.48,36.75,36.279999,36.369999,35.886340999999994,17819100
2017-05-10,36.27,36.380001,35.93,36.009997999999996,35.531128,25133800
2017-05-11,35.91,36.0,35.450001,35.689999,35.215382,21508900
2017-05-12,35.720001,35.740002000000004,35.400002,35.529999,35.057514000000005,19730800
2017-05-15,35.529999,35.720001,35.419998,35.630001,35.156181,22120100
2017-05-16,35.75,35.889998999999996,35.419998,35.82,35.343655,22291800
2017-05-17,35.669998,35.990002000000004,35.02,35.040001000000004,34.574032,26670200
2017-05-18,35.189999,35.470001,35.080002,35.220001,34.751637,17171900
2017-05-19,35.150002,35.549999,35.130001,35.400002,34.929245,18340100
2017-05-22,35.48,36.110001000000004,35.380001,35.77,35.294323,14638100
2017-05-23,35.869999,35.990002000000004,35.560001,35.860001000000004,35.383125,16903700
2017-05-24,35.98,36.18,35.889998999999996,36.119999,35.639664,20640600
2017-05-25,36.119999,36.389998999999996,36.060001,36.259997999999996,35.777805,13148500
2017-05-26,36.259997999999996,36.330002,36.130001,36.259997999999996,35.777805,11145500
2017-05-30,36.27,36.439999,36.09,36.18,35.698868,13026900
2017-05-31,36.310001,36.380001,35.869999,36.110001000000004,35.629803,17741900
2017-06-01,36.119999,36.130001,35.799999,36.119999,35.639664,17510900
2017-06-02,36.27,36.330002,36.0,36.32,35.837009,19127400
2017-06-05,36.299999,36.5,36.200001,36.34,35.856743,11685700
2017-06-06,36.16,36.450001,35.98,36.130001,35.649536,18420900
2017-06-07,36.130001,36.57,36.099998,36.259997999999996,35.777805,17192000
2017-06-08,36.34,36.529999,36.16,36.48,35.994881,16783400
2017-06-09,36.5,36.560001,35.310001,35.709998999999996,35.235119,33322100
2017-06-12,35.59,36.009997999999996,35.41,35.73,35.254852,28488300
2017-06-13,35.68,35.950001,35.529999,35.880001,35.402859,20588200
2017-06-14,35.990002000000004,36.049999,35.220001,35.529999,35.057514000000005,19149000
2017-06-15,35.209998999999996,35.48,35.139998999999996,35.310001,34.840439,20410000
2017-06-16,35.279999,35.330002,35.009997999999996,35.209998999999996,34.741768,30762800
2017-06-19,35.610001000000004,35.610001000000004,35.32,35.509997999999996,35.037777,21583800
2017-06-20,35.450001,35.450001,34.84,34.860001000000004,34.396423,21536500
2017-06-21,34.330002,34.599998,34.09,34.580002,34.120148,27138500
2017-06-22,34.560001,34.630001,34.290001000000004,34.360001000000004,33.903071999999995,24602900
2017-06-23,34.209998999999996,34.549999,34.099998,34.189999,33.735332,29260900
2017-06-26,34.259997999999996,34.509997999999996,34.029999,34.07,33.616928,18854800
2017-06-27,34.0,34.150002,33.650002,33.650002,33.202518,27078900
2017-06-28,33.77,34.240002000000004,33.740002000000004,34.200001,33.745197,25940100
2017-06-29,33.919998,34.099998,33.34,33.540001000000004,33.093979,25215700
2017-06-30,33.869999,33.93,33.529999,33.740002000000004,33.291321,24432000
2017-07-03,33.509997999999996,34.029999,33.43,33.459998999999996,33.015041,12676900
2017-07-05,33.52,34.43,33.490002000000004,34.34,33.883339,30010800
2017-07-06,34.119999,34.290001000000004,33.560001,33.630001,33.182781,20733200
2017-07-07,33.700001,34.119999,33.700001,33.880001,33.429455,18304500
2017-07-10,33.25,33.740002000000004,33.23,33.650002,33.202518,29918400
2017-07-11,33.639998999999996,33.93,33.43,33.919998,33.468922,25737500
2017-07-12,34.279999,34.389998999999996,33.939999,34.25,33.794537,23768300
2017-07-13,34.330002,34.400002,34.119999,34.240002000000004,33.784667999999996,15046200
2017-07-14,34.48,34.709998999999996,34.27,34.68,34.218819,16316400
2017-07-17,34.740002000000004,34.740002000000004,34.360001000000004,34.470001,34.011612,21044400
2017-07-18,34.43,34.580002,34.25,34.529999,34.070812,14362800
2017-07-19,34.68,34.68,34.459998999999996,34.560001,34.100414,17036200
2017-07-20,34.540001000000004,34.84,34.48,34.75,34.287884000000005,17506200
2017-07-21,34.540001000000004,34.82,34.400002,34.73,34.26815,22245000
2017-07-24,34.73,34.799999,34.380001,34.5,34.04121,16146300
2017-07-25,34.549999,34.740002000000004,34.400002,34.669998,34.208946000000005,18096700
2017-07-26,34.700001,34.970001,34.59,34.75,34.287884000000005,15499300
2017-07-27,34.779999,35.25,34.669998,34.970001,34.504959,43062800
2017-07-28,35.130001,35.860001000000004,35.0,35.310001,34.840439,36291500
2017-07-31,35.470001,35.740002000000004,35.32,35.470001,34.998314,27057000
2017-08-01,35.66,36.43,35.57,36.349998,35.866608,38710200
2017-08-02,36.330002,36.669998,36.060001,36.639998999999996,36.152752,35004300
2017-08-03,36.549999,36.59,36.150002,36.490002000000004,36.275028000000006,26611300
2017-08-04,36.450001,36.560001,36.099998,36.299999,36.086147,20520300
2017-08-07,36.389998999999996,36.549999,36.220001,36.43,36.215382,18169300
2017-08-08,36.369999,36.700001,36.299999,36.41,36.195499,22819900
2017-08-09,36.279999,36.66,36.02,36.59,36.374439,22796800
2017-08-10,36.400002,36.560001,36.110001000000004,36.139998999999996,35.92709,22693300
2017-08-11,36.259997999999996,36.400002,35.790001000000004,35.869999,35.65868,19275100
2017-08-14,36.119999,36.470001,36.080002,36.34,36.125912,18094200
2017-08-15,36.299999,36.32,35.82,36.0,35.787914,21706600
2017-08-16,35.98,36.07,35.560001,35.810001,35.599033,22014000
2017-08-17,35.599998,35.68,35.169998,35.169998,34.962803,19525000
2017-08-18,35.290001000000004,35.310001,34.990002000000004,35.009997999999996,34.803745,16231400
2017-08-21,35.09,35.279999,34.700001,34.919998,34.714275,26493300
2017-08-22,35.02,35.189999,34.619999,34.650002,34.445869,26097800
2017-08-23,34.540001000000004,34.810001,34.380001,34.66,34.455811,19648100
2017-08-24,34.700001,34.889998999999996,34.549999,34.709998999999996,34.505512,14301900
2017-08-25,34.82,34.93,34.580002,34.669998,34.465748,14726800
2017-08-28,34.779999,34.799999,34.59,34.650002,34.445869,20712900
2017-08-29,34.509997999999996,34.75,34.459998999999996,34.73,34.525394,15843700
2017-08-30,34.75,34.959998999999996,34.630001,34.889998999999996,34.684452,18565000
2017-08-31,34.939999,35.18,34.869999,35.07,34.863392,16366800
2017-09-01,35.240002000000004,35.389998999999996,35.07,35.09,34.883274,12822000
2017-09-05,35.02,35.330002,34.93,35.02,34.81369,18772000
2017-09-06,35.220001,35.939999,35.110001000000004,35.759997999999996,35.549328,28076400
2017-09-07,35.880001,35.950001,35.330002,35.540001000000004,35.330624,16297100
2017-09-08,35.419998,35.540001000000004,35.080002,35.189999,34.982685,14125000
2017-09-11,35.490002000000004,36.0,35.139998999999996,35.77,35.559269,20037600
2017-09-12,35.880001,36.34,35.740002000000004,36.09,35.877384,19489900
2017-09-13,36.0,36.400002,35.970001,36.330002,36.115971,15509800
2017-09-14,36.189999,36.700001,36.16,36.48,36.265087,18093900
2017-09-15,36.549999,37.080002,36.220001,37.0,36.782024,33596100
2017-09-18,37.0,37.330002,36.799999,37.0,36.782024,19393800
2017-09-19,37.200001,37.299999,37.02,37.23,37.010670000000005,23850500
